skew	bumps
0	280876
0.1	272681
0.2	281655
0.3	280083
0.4	287801
0.5	274729
0.6	283790
0.7	279860
0.8	270691
0.9	254709
0.99	284187
1.1	217343
1.2	172000
1.3	139889
1.4	129480
1.5	120475
1.6	110857
1.7	98560
1.8	96008
1.9	91193
2.0	85382
