skew	bumps
0	278694
0.1	276521
0.2	277506
0.3	279325
0.4	279746
0.5	267910
0.6	276751
0.7	276806
0.8	269672
0.9	254452
0.99	270986
1.1	220275
1.2	174796
1.3	141291
1.4	128112
1.5	113079
1.6	103834
1.7	105560
1.8	96335
1.9	94487
2.0	87232
