skew	bumps
0	283249
0.1	281436
0.2	283630
0.3	282421
0.4	265548
0.5	289084
0.6	279897
0.7	274196
0.8	265067
0.9	292592
0.99	280141
1.1	216247
1.2	177556
1.3	146348
1.4	120163
1.5	120856
1.6	106124
1.7	102252
1.8	98172
1.9	89595
2.0	90105
