skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	60088	21	0.437677	3	region=tokyo	{3}	{region=tokyo}
0.1	0	28864	21	0.298512	1	region=london	{1}	{region=london}
0.2	0	22899	21	0.348142	1	region=london	{1}	{region=london}
0.3	0	19216	21	0.431668	3	region=tokyo	{3}	{region=tokyo}
0.4	0	3750	21	0.207728	1	region=london	{1}	{region=london}
0.5	0	975	21	0.184204	3	region=tokyo	{3}	{region=tokyo}
0.6	0	894	21	0.323132	1	region=london	{1}	{region=london}
0.7	0	34	21	0.18649	3	region=newyork	{3}	{region=newyork}
0.8	0	14	21	0.30233	3	region=tokyo	{3}	{region=tokyo}
0.9	0	1	21	0.183885	3	region=newyork	{3}	{region=newyork}
0.99	0	1	21	0.297225	1	region=london	{1}	{region=london}
1.1	0	2	21	0.57293	2	region=newyork	{2}	{region=newyork}
1.2	0	1	21	0.463645	3	region=tokyo	{3}	{region=tokyo}
1.3	0	1	21	0.486385	3	region=tokyo	{3}	{region=tokyo}
1.4	0	2	21	0.59297	3	region=newyork	{3}	{region=newyork}
1.5	0	1	21	0.521825	2	region=tokyo	{2}	{region=tokyo}
1.6	0	1	21	0.447485	2	region=newyork	{2}	{region=newyork}
1.7	0	1	21	0.451245	2	region=newyork	{2}	{region=newyork}
1.8	0	1	21	0.524705	1	region=london	{1}	{region=london}
1.9	0	1	21	0.474105	1	region=london	{1}	{region=london}
2.0	0	1	21	0.509685	1	region=london	{1}	{region=london}
