skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	52128	21	0.37893	2	region=tokyo	{2}	{region=tokyo}
0.1	0	37222	21	0.377201	3	region=newyork	{3}	{region=newyork}
0.2	0	28254	21	0.412447	2	region=tokyo	{2}	{region=tokyo}
0.3	0	15044	21	0.338352	1	region=london	{1}	{region=london}
0.4	0	8416	21	0.370601	3	region=newyork	{3}	{region=newyork}
0.5	0	1583	21	0.231744	3	region=tokyo	{3}	{region=tokyo}
0.6	0	1053	21	0.330825	1	region=london	{1}	{region=london}
0.7	0	110	21	0.28737	1	region=london	{1}	{region=london}
0.8	0	12	21	0.30202	3	region=newyork	{3}	{region=newyork}
0.9	0	2	21	0.24737	2	region=tokyo	{2}	{region=tokyo}
0.99	0	1	21	0.275265	3	region=newyork	{3}	{region=newyork}
1.1	0	1	21	0.424445	2	region=tokyo	{2}	{region=tokyo}
1.2	0	1	21	0.487765	2	region=tokyo	{2}	{region=tokyo}
1.3	0	1	21	0.428905	2	region=newyork	{2}	{region=newyork}
1.4	0	1	21	0.504485	1	region=london	{1}	{region=london}
1.5	0	1	21	0.452285	2	region=newyork	{2}	{region=newyork}
1.6	0	1	21	0.454605	3	region=newyork	{3}	{region=newyork}
1.7	0	1	21	0.510725	2	region=tokyo	{2}	{region=tokyo}
1.8	0	1	21	0.508845	2	region=tokyo	{2}	{region=tokyo}
1.9	0	1	21	0.507965	1	region=london	{1}	{region=london}
2.0	0	1	21	0.429545	3	region=newyork	{3}	{region=newyork}
