skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	58367	21	0.427587	1	region=london	{1}	{region=london}
0.1	0	22880	21	0.236407	2	region=newyork	{2}	{region=newyork}
0.2	0	24750	21	0.361062	2	region=tokyo	{2}	{region=tokyo}
0.3	0	6922	21	0.205318	2	region=newyork	{2}	{region=newyork}
0.4	0	2916	21	0.192292	2	region=tokyo	{2}	{region=tokyo}
0.5	0	1512	21	0.219245	3	region=tokyo	{3}	{region=tokyo}
0.6	0	650	21	0.294424	2	region=newyork	{2}	{region=newyork}
0.7	0	155	21	0.33498	2	region=tokyo	{2}	{region=tokyo}
0.8	0	11	21	0.276335	3	region=tokyo	{3}	{region=tokyo}
0.9	0	2	21	0.24145	2	region=tokyo	{2}	{region=tokyo}
0.99	0	1	21	0.297565	2	region=newyork	{2}	{region=newyork}
1.1	0	2	21	0.59795	1	region=london	{1}	{region=london}
1.2	0	1	21	0.436965	3	region=newyork	{3}	{region=newyork}
1.3	0	1	21	0.435105	3	region=newyork	{3}	{region=newyork}
1.4	0	1	21	0.490505	3	region=tokyo	{3}	{region=tokyo}
1.5	0	1	21	0.519525	1	region=london	{1}	{region=london}
1.6	0	1	21	0.520025	1	region=london	{1}	{region=london}
1.7	0	1	21	0.430665	3	region=newyork	{3}	{region=newyork}
1.8	0	1	21	0.500205	2	region=tokyo	{2}	{region=tokyo}
1.9	0	1	21	0.495205	3	region=tokyo	{3}	{region=tokyo}
2.0	0	0	21	0.783232	1	region=london	{1}	{region=london}
