skew	bumps
0	280479
0.1	284480
0.2	284573
0.3	263155
0.4	285493
0.5	281570
0.6	266922
0.7	267793
0.8	280687
0.9	255655
0.99	262561
1.1	227439
1.2	186973
1.3	138351
1.4	129251
1.5	115614
1.6	107776
1.7	101786
1.8	97333
1.9	91862
2.0	87971
