skew	start_key	end_key	range_id	range_size_mb	lease_holder	lease_holder_locality	replicas	replica_localities
0	0	0	21	0.013517	1	region=london	{1,3}	{region=london,region=newyork}
0.1	0	0	21	0.015409	1	region=london	{1,2}	{region=london,region=tokyo}
