skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4292.799999999999	4299.849999999999	4306.9	9280.7	14254.5
0.6	10076.2	11998.1	13920.0	14075.150000000001	14230.300000000001
0.7	4737.6	4867.65	4997.7	6701.0	8404.3
0.8	4675.700000000001	4690.5	4705.3	4728.65	4752.0
0.9	4923.3	4927.0	4930.700000000001	5213.55	5496.4
0.99	5410.6	5437.5	5464.4	5475.25	5486.1
1.1	21089.399999999998	21320.25	21551.1	27671.149999999998	33791.2
1.2	42742.8	43095.2	43447.6	52864.649999999994	62281.7
1.3	99411.09999999999	99992.9	100574.7	115514.70000000001	130454.70000000001
1.4	194224.8	194230.05	194235.3	194251.4	194267.5
1.5	221363.3	221391.45	221419.6	221507.0	221594.4
