skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4223.4	4266.5	4309.6	4715.5	5121.4
0.6	4392.599999999999	4422.85	4453.1	4487.200000000001	4521.3
0.7	4418.3	4447.3	4476.3	4565.05	4653.8
0.8	4694.5	4699.35	4704.2	4743.4	4782.6
0.9	5394.0	5417.6	5441.2	5526.950000000001	5612.700000000001
0.99	18419.0	18641.3	18863.6	18940.3	19017.0
1.1	37518.5	37573.45	37628.4	49116.3	60604.2
1.2	87070.0	87474.25	87878.5	88555.95	89233.4
1.3	194615.19999999998	194751.8	194888.4	194890.84999999998	194893.3
1.4	223206.8	223387.45	223568.1	223660.4	223752.69999999998
1.5	224631.2	224801.15000000002	224971.1	224986.34999999998	225001.59999999998
