skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4470.900000000001	4475.650000000001	4480.400000000001	4497.700000000001	4515.0
0.6	4660.6	4671.0	4681.4	4706.5	4731.6
0.7	5014.0	5028.5	5043.0	6317.7	7592.4
0.8	5446.0	10133.35	14820.7	14821.65	14822.599999999999
0.9	19539.1	19700.5	19861.9	20354.9	20847.899999999998
0.99	29859.9	29902.1	29944.3	30067.9	30191.5
1.1	58800.600000000006	59015.3	59230.0	59750.75	60271.5
1.2	140166.8	140344.3	140521.8	141751.95	142982.1
1.3	212477.3	212549.84999999998	212622.4	212634.09999999998	212645.8
1.4	224104.1	224215.85	224327.6	224415.7	224503.8
1.5	225272.9	225409.90000000002	225546.90000000002	225731.30000000002	225915.7
