skew	whisker_min	box_min	median	box_high	whisker_high
0.5	5214.7	5214.7	5214.7	5214.7	5214.7
0.6	5304.5	5304.5	5304.5	5304.5	5304.5
0.7	5847.0	5847.0	5847.0	5847.0	5847.0
0.8	6267.9	6267.9	6267.9	6267.9	6267.9
0.9	7835.8	7835.8	7835.8	7835.8	7835.8
0.99	9653.3	9653.3	9653.3	9653.3	9653.3
1.1	11052.099999999999	11052.099999999999	11052.099999999999	11052.099999999999	11052.099999999999
1.2	11968.6	11968.6	11968.6	11968.6	11968.6
1.3	10594.3	10594.3	10594.3	10594.3	10594.3
1.34	11410.6	11410.6	11410.6	11410.6	11410.6
1.5	15933.900000000001	15933.900000000001	15933.900000000001	15933.900000000001	15933.900000000001
