skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4195.4	4213.7	4214.2	4232.0	4260.7
0.6	4240.8	4264.4	4287.8	4290.4	4365.5
0.7	4333.6	4351.2	4371.0	4405.299999999999	4517.700000000001
0.8	4614.200000000001	4639.5	4653.7	4660.8	4672.5
0.9	5045.5	5055.7	5092.2	5107.799999999999	5191.2
0.99	16849.2	16851.7	17008.7	17101.6	19696.6
1.1	27727.9	28590.3	28679.9	28719.999999999996	28721.9
1.2	52984.299999999996	53960.100000000006	54183.799999999996	54584.700000000004	54642.0
1.3	112554.2	113082.4	113248.4	113406.20000000001	113675.79999999999
1.4	158589.5	158946.9	159217.8	159283.6	159329.6
1.5	168288.3	168375.8	168478.8	168526.4	168634.8
