skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4003.8	4014.65	4025.5	4068.2999999999997	4111.099999999999
0.6	4315.0	4605.05	4895.1	7931.200000000001	10967.300000000001
0.7	4364.5	4643.8	4923.1	5000.5	5077.9
0.8	4684.6	5279.900000000001	5875.200000000001	10532.35	15189.5
0.9	5731.1	9933.1	14135.1	14513.050000000001	14891.000000000002
0.99	21566.9	29154.7	36742.5	36995.95	37249.4
1.1	48273.299999999996	63235.5	78197.7	78869.05	79540.40000000001
1.2	136478.0	136528.95	136579.9	146294.8	156009.7
1.3	223339.5	223392.55	223445.6	223543.6	223641.6
1.4	227907.8	228022.34999999998	228136.9	228164.4	228191.9
1.5	229449.3	229760.95	230072.6	230527.65	230982.69999999998
