1435175, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
1004, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
11083, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
1457, avg(latency)=1318.2177530000001, med(latency)=1318.2177530000001, p99(latency)=1318.2177530000001
1315, avg(latency)=1345.8348780000001, med(latency)=1345.8348780000001, p99(latency)=1345.8348780000001
18105, avg(latency)=1345.8348780000001, med(latency)=1345.8348780000001, p99(latency)=1345.8348780000001
39, avg(latency)=9677.507641555556, med(latency)=2863.2420500000003, p99(latency)=136.3171024672
1282, avg(latency)=1345.8348780000001, med(latency)=1345.8348780000001, p99(latency)=1345.8348780000001
3, avg(latency)=6135.211749695238, med(latency)=4212.461972, p99(latency)=36.1961727952
179, avg(latency)=699.9874785000001, med(latency)=699.9874785000001, p99(latency)=66.9278575101
3157530, avg(latency)=1345.8348780000001, med(latency)=1345.8348780000001, p99(latency)=1345.8348780000001
13, avg(latency)=6576.827825181818, med(latency)=4867.533528, p99(latency)=801.4309053946001
163190833889, avg(latency)=1345.8348780000001, med(latency)=1345.8348780000001, p99(latency)=1345.8348780000001
70, avg(latency)=12154.073251571428, med(latency)=5027.528458, p99(latency)=1435.9688640168001
97683905, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
5, avg(latency)=6761.530492265625, med(latency)=4239.5763719999995, p99(latency)=184.12445467220002
7058394230, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
43, avg(latency)=6186.406776230769, med(latency)=4136.884173, p99(latency)=275.2046245484
31293540298191840, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
271, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
5668086562, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
2779, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
392165, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
1167, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
1251044, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
52192, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
2631, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
483, avg(latency)=5174.721853499999, med(latency)=5174.721853499999, p99(latency)=1439.8787757588998
148901722127, avg(latency)=1364.435098, med(latency)=1364.435098, p99(latency)=1364.435098
60, avg(latency)=2471.018739333333, med(latency)=1989.230351, p99(latency)=114.911793902
1409, avg(latency)=10454.366385333333, med(latency)=1382.916068, p99(latency)=157.901614961
65, avg(latency)=5207.451508285715, med(latency)=1922.190517, p99(latency)=125.19286077279999
2747017, avg(latency)=1382.916068, med(latency)=1382.916068, p99(latency)=1382.916068
267077301, avg(latency)=1382.916068, med(latency)=1382.916068, p99(latency)=1382.916068
227167824, avg(latency)=1382.916068, med(latency)=1382.916068, p99(latency)=1382.916068
865, avg(latency)=1382.916068, med(latency)=1382.916068, p99(latency)=1382.916068
36939705833851, avg(latency)=1382.916068, med(latency)=1382.916068, p99(latency)=1382.916068
109, avg(latency)=4532.707128714285, med(latency)=4898.513508, p99(latency)=1392.0066516031998
67905012, avg(latency)=1382.916068, med(latency)=1382.916068, p99(latency)=1382.916068
3707, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
69972750267313, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
25, avg(latency)=4342.303184333333, med(latency)=3483.7808259999997, p99(latency)=105.78901069199999
90266, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
65145, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
713650408, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
47, avg(latency)=7276.3469885, med(latency)=3673.232687, p99(latency)=1454.347782786
26416577481, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
122159, avg(latency)=1414.042941, med(latency)=1414.042941, p99(latency)=1414.042941
16531392455263, avg(latency)=829.962659, med(latency)=829.962659, p99(latency)=829.962659
93, avg(latency)=10091.3329084, med(latency)=5020.541901, p99(latency)=897.1637991248001
43631469, avg(latency)=829.962659, med(latency)=829.962659, p99(latency)=829.962659
604657, avg(latency)=829.962659, med(latency)=829.962659, p99(latency)=829.962659
1885, avg(latency)=829.962659, med(latency)=829.962659, p99(latency)=829.962659
3750021715, avg(latency)=829.962659, med(latency)=829.962659, p99(latency)=829.962659
41, avg(latency)=3840.0102990000005, med(latency)=3231.959363, p99(latency)=891.8215732622
3385831, avg(latency)=829.962659, med(latency)=829.962659, p99(latency)=829.962659
362245, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
38977132, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
247686, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
14269, avg(latency)=2243.370817, med(latency)=2243.370817, p99(latency)=2243.370817
182, avg(latency)=6159.959587, med(latency)=3573.3871879999997, p99(latency)=2269.7051411458
48, avg(latency)=4461.844239833334, med(latency)=4186.5428635, p99(latency)=1608.1690335854998
8, avg(latency)=6211.46279004878, med(latency)=4027.776623, p99(latency)=79.059872168
