/Table/11/{1-2}, total_accesses=0, bumped_read=0, avg(spanlatch_wait)=0.015955, med(spanlatch_wait)=0.015955, max(spanlatch_wait)=0.015955, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
1, total_accesses=1, bumped_read=0,failed_accesses=0.0, uncommitted_intents=0.0, newer_committed_values=0.0, avg(spanlatch_wait)=12.046736000000001, med(spanlatch_wait)=8.816808, max(spanlatch_wait)=18.734214, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
3, total_accesses=1, bumped_read=0,failed_accesses=0.0, uncommitted_intents=0.0, newer_committed_values=0.0, avg(spanlatch_wait)=11.889695333333334, med(spanlatch_wait)=8.602933, max(spanlatch_wait)=18.482543, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
3, total_accesses=0, bumped_read=0, avg(spanlatch_wait)=nan, med(spanlatch_wait)=nan, max(spanlatch_wait)=nan, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
3, total_accesses=39, bumped_read=0,failed_accesses=0.5128205128205128, uncommitted_intents=0.4358974358974359, newer_committed_values=0.07692307692307693, avg(spanlatch_wait)=6.22037192079208, med(spanlatch_wait)=5.613684, max(spanlatch_wait)=24.788533, avg(txnqueue_wait)=50.812963861111115, med(txnqueue_wait)=50.6675175, max(txnqueue_wait)=485.92607599999997
3, total_accesses=50, bumped_read=0,failed_accesses=0.54, uncommitted_intents=0.4, newer_committed_values=0.14, avg(spanlatch_wait)=6.200989686956521, med(spanlatch_wait)=5.988201, max(spanlatch_wait)=42.096878, avg(txnqueue_wait)=43.54534419298246, med(txnqueue_wait)=23.495697999999997, max(txnqueue_wait)=634.909
3, total_accesses=31, bumped_read=0,failed_accesses=0.4838709677419355, uncommitted_intents=0.3548387096774194, newer_committed_values=0.12903225806451613, avg(spanlatch_wait)=8.7832397625, med(spanlatch_wait)=6.543484, max(spanlatch_wait)=56.394571, avg(txnqueue_wait)=37.124767956521744, med(txnqueue_wait)=50.566785, max(txnqueue_wait)=52.276999999999994
3, total_accesses=65, bumped_read=0,failed_accesses=0.5846153846153846, uncommitted_intents=0.4307692307692308, newer_committed_values=0.15384615384615385, avg(spanlatch_wait)=6.424677437956204, med(spanlatch_wait)=5.460465, max(spanlatch_wait)=123.933071, avg(txnqueue_wait)=416.1395340000001, med(txnqueue_wait)=364.44626800000003, max(txnqueue_wait)=731.905475
3, total_accesses=41, bumped_read=0,failed_accesses=0.5121951219512195, uncommitted_intents=0.36585365853658536, newer_committed_values=0.14634146341463414, avg(spanlatch_wait)=9.701977689999998, med(spanlatch_wait)=5.6731300000000005, max(spanlatch_wait)=76.379484, avg(txnqueue_wait)=37.15486889473684, med(txnqueue_wait)=40.288292000000006, max(txnqueue_wait)=81.509535
3, total_accesses=64, bumped_read=0,failed_accesses=0.546875, uncommitted_intents=0.359375, newer_committed_values=0.1875, avg(spanlatch_wait)=8.283410475177305, med(spanlatch_wait)=7.0927, max(spanlatch_wait)=56.792858, avg(txnqueue_wait)=41.881860749999994, med(txnqueue_wait)=7.6009675, max(txnqueue_wait)=213.599439
3, total_accesses=25, bumped_read=0,failed_accesses=0.68, uncommitted_intents=0.64, newer_committed_values=0.04, avg(spanlatch_wait)=5.9792960576923075, med(spanlatch_wait)=6.1247495, max(spanlatch_wait)=23.113269, avg(txnqueue_wait)=64.6182669090909, med(txnqueue_wait)=22.656266000000002, max(txnqueue_wait)=243.24115700000002
4, total_accesses=1, bumped_read=0,failed_accesses=0.0, uncommitted_intents=0.0, newer_committed_values=0.0, avg(spanlatch_wait)=11.878909, med(spanlatch_wait)=8.598998, max(spanlatch_wait)=18.459505, avg(txnqueue_wait)=nan, med(txnqueue_wait)=nan, max(txnqueue_wait)=nan
