2, {'total_accesses': 74, 'bumped_read': 0, 'failed_accesses': 0.5945945945945946, 'uncommitted_intents': 0.47297297297297297, 'newer_committed_values': 0.12162162162162163, 'avg(spanlatch_wait)': 7.214000574074074, 'med(spanlatch_wait)': 5.9657235, 'p99(spanlatch_wait)': 42.79841636999996, 'avg(txnqueue_wait)': 349.83365400000002, 'med(txnqueue_wait)': 49.586805000000005, 'p99(txnqueue_wait)': 1084.3308634, 'avg(latency)': 7779.5864462424242, 'med(latency)': 6856.205248, 'p99(latency)': 22483.763451679995}
2, {'total_accesses': 85, 'bumped_read': 0, 'failed_accesses': 0.6235294117647059, 'uncommitted_intents': 0.5058823529411764, 'newer_committed_values': 0.11764705882352941, 'avg(spanlatch_wait)': 5.816020643617021, 'med(spanlatch_wait)': 5.974997, 'p99(spanlatch_wait)': 18.68860061999999, 'avg(txnqueue_wait)': 187.36125311428572, 'med(txnqueue_wait)': 51.000394, 'p99(txnqueue_wait)': 1145.7445546399995, 'avg(latency)': 8536.1076338499988, 'med(latency)': 5562.0743645, 'p99(latency)': 24975.77639}
2, {'total_accesses': 80, 'bumped_read': 0, 'failed_accesses': 0.7375, 'uncommitted_intents': 0.6875, 'newer_committed_values': 0.05, 'avg(spanlatch_wait)': 4.2012192911392408, 'med(spanlatch_wait)': 1.1927585, 'p99(spanlatch_wait)': 17.72118079000001, 'avg(txnqueue_wait)': 79.773473088235292, 'med(txnqueue_wait)': 44.083665999999994, 'p99(txnqueue_wait)': 945.4547014900013, 'avg(latency)': 7473.6688615555549, 'med(latency)': 5905.918426, 'p99(latency)': 18425.196838}
2, {'total_accesses': 89, 'bumped_read': 0, 'failed_accesses': 0.6966292134831461, 'uncommitted_intents': 0.5842696629213483, 'newer_committed_values': 0.11235955056179775, 'avg(spanlatch_wait)': 5.7828937272727261, 'med(spanlatch_wait)': 5.2258165, 'p99(spanlatch_wait)': 26.00694764, 'avg(txnqueue_wait)': 56.718187833333346, 'med(txnqueue_wait)': 50.765736000000004, 'p99(txnqueue_wait)': 526.530808239999, 'avg(latency)': 7604.0144035675676, 'med(latency)': 5293.577008, 'p99(latency)': 24008.423335}
3, {'total_accesses': 11, 'bumped_read': 0, 'failed_accesses': 0.5454545454545454, 'uncommitted_intents': 0.5454545454545454, 'newer_committed_values': 0.0, 'avg(spanlatch_wait)': 8.3060546842105278, 'med(spanlatch_wait)': 6.025665, 'p99(spanlatch_wait)': 40.30759676000001, 'avg(txnqueue_wait)': 54.191058000000005, 'med(txnqueue_wait)': 42.694748, 'p99(txnqueue_wait)': 126.52914988999999, 'avg(latency)': 632.33721500000001, 'med(latency)': 632.337215, 'p99(latency)': 632.337215}
3, {'total_accesses': 48, 'bumped_read': 0, 'failed_accesses': 0.5208333333333334, 'uncommitted_intents': 0.3125, 'newer_committed_values': 0.20833333333333334, 'avg(spanlatch_wait)': 9.0153411666666656, 'med(spanlatch_wait)': 7.7604885, 'p99(spanlatch_wait)': 61.366686090000115, 'avg(txnqueue_wait)': 47.514046462962959, 'med(txnqueue_wait)': 50.676657500000005, 'p99(txnqueue_wait)': 294.7230586999999, 'avg(latency)': 2897.9979911304349, 'med(latency)': 2111.363171, 'p99(latency)': 9322.249445480002}
3, {'total_accesses': 43, 'bumped_read': 0, 'failed_accesses': 0.5348837209302325, 'uncommitted_intents': 0.4418604651162791, 'newer_committed_values': 0.09302325581395349, 'avg(spanlatch_wait)': 12.004265205357143, 'med(spanlatch_wait)': 5.930052, 'p99(spanlatch_wait)': 286.8534970000002, 'avg(txnqueue_wait)': 87.897487428571438, 'med(txnqueue_wait)': 34.803865, 'p99(txnqueue_wait)': 380.4209971199999, 'avg(latency)': 7020.6331867058825, 'med(latency)': 5787.371171, 'p99(latency)': 15799.78131412}
3, {'total_accesses': 48, 'bumped_read': 0, 'failed_accesses': 0.6041666666666666, 'uncommitted_intents': 0.5416666666666666, 'newer_committed_values': 0.0625, 'avg(spanlatch_wait)': 6.2861336140350881, 'med(spanlatch_wait)': 6.47273, 'p99(spanlatch_wait)': 25.149589940000023, 'avg(txnqueue_wait)': 491.84953266666668, 'med(txnqueue_wait)': 31.2388265, 'p99(txnqueue_wait)': 1482.80376045, 'avg(latency)': 6348.2500496153853, 'med(latency)': 5765.7491525000005, 'p99(latency)': 23891.56349475}
3, {'total_accesses': 41, 'bumped_read': 0, 'failed_accesses': 0.4878048780487805, 'uncommitted_intents': 0.3902439024390244, 'newer_committed_values': 0.0975609756097561, 'avg(spanlatch_wait)': 7.9858758867924529, 'med(spanlatch_wait)': 7.211971, 'p99(spanlatch_wait)': 32.91218070000003, 'avg(txnqueue_wait)': 218.93882299999999, 'med(txnqueue_wait)': 69.016213, 'p99(txnqueue_wait)': 752.2758743600001, 'avg(latency)': 8950.4590123225826, 'med(latency)': 7918.63797, 'p99(latency)': 24641.3998673}
3, {'total_accesses': 46, 'bumped_read': 0, 'failed_accesses': 0.6304347826086957, 'uncommitted_intents': 0.41304347826086957, 'newer_committed_values': 0.21739130434782608, 'avg(spanlatch_wait)': 6.8878098571428579, 'med(spanlatch_wait)': 5.8342585, 'p99(spanlatch_wait)': 40.30586131000001, 'avg(txnqueue_wait)': 176.02919191666666, 'med(txnqueue_wait)': 51.0554815, 'p99(txnqueue_wait)': 1595.6154346499993, 'avg(latency)': 6045.2978823333342, 'med(latency)': 3179.9159925000004, 'p99(latency)': 27355.694703439967}
3, {'total_accesses': 85, 'bumped_read': 0, 'failed_accesses': 0.8352941176470589, 'uncommitted_intents': 0.7176470588235294, 'newer_committed_values': 0.11764705882352941, 'avg(spanlatch_wait)': 4.8808105733333331, 'med(spanlatch_wait)': 0.058950999999999996, 'p99(spanlatch_wait)': 23.552259349999943, 'avg(txnqueue_wait)': 616.03882438888877, 'med(txnqueue_wait)': 699.318081, 'p99(txnqueue_wait)': 1880.5502540100001, 'avg(latency)': 6137.8155545454538, 'med(latency)': 5056.8018335, 'p99(latency)': 15030.696777989997}
4, {'total_accesses': 6, 'bumped_read': 0, 'failed_accesses': 0.5, 'uncommitted_intents': 0.5, 'newer_committed_values': 0.0, 'avg(spanlatch_wait)': 9.6382148999999995, 'med(spanlatch_wait)': 6.228808000000001, 'p99(spanlatch_wait)': 40.34088966, 'avg(txnqueue_wait)': 162.59758199999999, 'med(txnqueue_wait)': 162.597582, 'p99(txnqueue_wait)': 269.99769005999997, 'avg(latency)': nan, 'med(latency)': nan, 'p99(latency)': nan}
4, {'total_accesses': 75, 'bumped_read': 0, 'failed_accesses': 0.8266666666666667, 'uncommitted_intents': 0.7333333333333333, 'newer_committed_values': 0.09333333333333334, 'avg(spanlatch_wait)': 5.1882793217391319, 'med(spanlatch_wait)': 0.046298, 'p99(spanlatch_wait)': 71.15871393999997, 'avg(txnqueue_wait)': 992.83195549999982, 'med(txnqueue_wait)': 998.5773334999999, 'p99(txnqueue_wait)': 2271.5275092, 'avg(latency)': 4807.3776381666676, 'med(latency)': 4070.822728, 'p99(latency)': 9760.069019999999}
4, {'total_accesses': 42, 'bumped_read': 0, 'failed_accesses': 0.6190476190476191, 'uncommitted_intents': 0.5952380952380952, 'newer_committed_values': 0.023809523809523808, 'avg(spanlatch_wait)': 5.863899408163264, 'med(spanlatch_wait)': 5.690345000000001, 'p99(spanlatch_wait)': 20.352926390000004, 'avg(txnqueue_wait)': 79.126393499999992, 'med(txnqueue_wait)': 18.6527405, 'p99(txnqueue_wait)': 366.9033609700001, 'avg(latency)': 8249.0000051764709, 'med(latency)': 6237.526502, 'p99(latency)': 15489.086084839999}
4, {'total_accesses': 34, 'bumped_read': 0, 'failed_accesses': 0.5588235294117647, 'uncommitted_intents': 0.47058823529411764, 'newer_committed_values': 0.08823529411764706, 'avg(spanlatch_wait)': 8.3065532470588224, 'med(spanlatch_wait)': 6.533317, 'p99(spanlatch_wait)': 42.105593439999915, 'avg(txnqueue_wait)': nan, 'med(txnqueue_wait)': nan, 'p99(txnqueue_wait)': nan, 'avg(latency)': 8414.4060317000003, 'med(latency)': 6888.016269, 'p99(latency)': 17740.126223829993}
4, {'total_accesses': 49, 'bumped_read': 0, 'failed_accesses': 0.7346938775510204, 'uncommitted_intents': 0.6530612244897959, 'newer_committed_values': 0.08163265306122448, 'avg(spanlatch_wait)': 5.7931678494623666, 'med(spanlatch_wait)': 5.222418, 'p99(spanlatch_wait)': 23.595722039999977, 'avg(txnqueue_wait)': 583.71203624999998, 'med(txnqueue_wait)': 280.577068, 'p99(txnqueue_wait)': 2587.09900756, 'avg(latency)': 7262.6522830799986, 'med(latency)': 5124.127772999999, 'p99(latency)': 24975.77639}
4, {'total_accesses': 27, 'bumped_read': 0, 'failed_accesses': 0.4074074074074074, 'uncommitted_intents': 0.25925925925925924, 'newer_committed_values': 0.14814814814814814, 'avg(spanlatch_wait)': 6.64056456716418, 'med(spanlatch_wait)': 5.710844, 'p99(spanlatch_wait)': 32.613673780000155, 'avg(txnqueue_wait)': 130.41695099999998, 'med(txnqueue_wait)': 37.403218499999994, 'p99(txnqueue_wait)': 427.0438382099999, 'avg(latency)': 6104.7792464736849, 'med(latency)': 2925.003249, 'p99(latency)': 18425.196838}
