skew	whisker_min	box_min	median	box_high	whisker_high
0.5	11715.6	11749.15	11782.699999999999	11854.599999999999	11926.5
0.6	12186.1	12484.650000000001	12783.2	12875.25	12967.3
0.7	14480.400000000001	14779.100000000002	15077.800000000001	15119.900000000001	15162.000000000002
0.8	21721.100000000002	21750.550000000003	21780.0	21872.1	21964.2
0.9	44800.6	45316.75	45832.9	46088.75	46344.6
0.99	138428.69999999998	138466.5	138504.30000000002	138788.2	139072.10000000003
1.1	818526.1999999998	822359.3999999999	826192.5999999999	830293.2499999999	834393.8999999999
1.2	2054739.9	2055119.75	2055499.6	2055785.15	2056070.7
1.3	2075607.6999999995	2075985.7499999995	2076363.7999999998	2076378.5	2076393.2
1.4	2075416.1	2076271.7500000002	2077127.4000000004	2079286.9500000002	2081446.5
1.5	2077101.7000000002	2079500.6999999997	2081899.6999999993	2082885.6499999994	2083871.5999999999
