key	frequency
0	0.091842
1	0.142203
2	0.181918
3	0.209328
4	0.231895
5	0.250022
6	0.265003
7	0.278183
8	0.288444
9	0.298390
10	0.307917
11	0.316063
12	0.323439
13	0.330047
14	0.336340
15	0.342248
16	0.347772
17	0.353418
18	0.358488
19	0.363277
20	0.367490
21	0.371073
22	0.374482
23	0.377751
24	0.381072
25	0.384324
26	0.387208
27	0.390564
28	0.393746
29	0.396280
30	0.398902
31	0.401909
32	0.404269
33	0.406646
34	0.408901
35	0.411506
36	0.413656
37	0.416155
38	0.418201
39	0.420316
40	0.422064
41	0.424039
42	0.425682
43	0.427378
44	0.429196
45	0.430926
46	0.432779
47	0.434510
48	0.436118
49	0.437726
50	0.439369
51	0.441170
52	0.443040
53	0.444351
54	0.446169
55	0.447725
56	0.449298
57	0.450976
58	0.452445
59	0.453948
60	0.455679
61	0.456972
62	0.458353
63	0.459437
64	0.460538
65	0.461604
66	0.462880
67	0.464244
68	0.465572
69	0.466604
70	0.467565
71	0.468597
72	0.469663
73	0.470939
74	0.471970
75	0.472862
76	0.473945
77	0.474680
78	0.475781
79	0.476742
80	0.477669
81	0.478700
82	0.479836
83	0.480623
84	0.481392
85	0.482458
86	0.483210
87	0.484102
88	0.484818
89	0.485675
90	0.486584
91	0.487458
92	0.488332
93	0.489136
94	0.489958
95	0.490954
96	0.491915
97	0.492650
98	0.493419
99	0.494135
100	0.494939
101	0.495796
102	0.496530
103	0.497194
104	0.497929
105	0.498733
106	0.499502
107	0.500271
108	0.500743
109	0.501495
110	0.502054
111	0.502963
112	0.503680
113	0.504309
114	0.504886
115	0.505410
116	0.505987
117	0.506686
118	0.507193
119	0.507665
120	0.508225
121	0.508714
122	0.509361
123	0.509973
124	0.510479
125	0.510934
126	0.511336
127	0.511843
128	0.512734
129	0.513311
130	0.513888
131	0.514413
132	0.514797
133	0.515514
134	0.516073
135	0.516475
136	0.517017
137	0.517629
138	0.518101
139	0.518503
140	0.518975
141	0.519464
142	0.519936
143	0.520443
144	0.521020
145	0.521422
146	0.521772
147	0.522261
148	0.522768
149	0.523240
150	0.523852
151	0.524411
152	0.524761
153	0.525250
154	0.525757
155	0.526159
156	0.526789
157	0.527243
158	0.527610
159	0.528047
160	0.528607
161	0.528991
162	0.529586
163	0.530092
164	0.530442
165	0.530897
166	0.531403
167	0.531683
168	0.532173
169	0.532592
170	0.532924
171	0.533379
172	0.533781
173	0.534200
174	0.534480
175	0.534969
176	0.535407
177	0.535721
178	0.536018
179	0.536315
180	0.536595
181	0.537032
182	0.537469
183	0.537906
184	0.538308
185	0.538728
186	0.539095
187	0.539357
188	0.539794
189	0.540179
190	0.540476
191	0.541000
192	0.541385
193	0.541839
194	0.542189
195	0.542434
196	0.542783
197	0.543098
198	0.543378
199	0.543675
200	0.543972
201	0.544269
202	0.544671
203	0.545108
204	0.545405
205	0.545737
206	0.546157
207	0.546507
208	0.546751
209	0.547083
210	0.547346
211	0.547870
212	0.548237
213	0.548587
214	0.548884
215	0.549164
216	0.549391
217	0.549740
218	0.550125
219	0.550422
220	0.550789
221	0.551069
222	0.551349
223	0.551646
224	0.552048
225	0.552293
226	0.552590
227	0.552834
228	0.553132
229	0.553411
230	0.553691
231	0.554058
232	0.554338
233	0.554565
234	0.554757
235	0.555072
236	0.555334
237	0.555544
238	0.555754
239	0.556051
240	0.556278
241	0.556593
242	0.556942
243	0.557082
244	0.557362
245	0.557711
246	0.557834
247	0.558114
248	0.558323
249	0.558533
250	0.558760
251	0.559075
252	0.559320
253	0.559669
254	0.559862
255	0.560036
256	0.560334
257	0.560438
258	0.560718
259	0.560998
260	0.561365
261	0.561662
262	0.561889
263	0.562082
264	0.562414
265	0.562676
266	0.562868
267	0.563183
268	0.563445
269	0.563672
270	0.563865
271	0.564092
272	0.564406
273	0.564616
274	0.564966
275	0.565071
276	0.565350
277	0.565578
278	0.565805
279	0.565997
280	0.566207
281	0.566452
282	0.566714
283	0.566941
284	0.567203
285	0.567378
286	0.567640
287	0.567937
288	0.568200
289	0.568497
290	0.568812
291	0.569091
292	0.569196
293	0.569371
294	0.569581
295	0.569878
296	0.570140
297	0.570280
298	0.570490
299	0.570752
300	0.570979
301	0.571206
302	0.571469
303	0.571556
304	0.571783
305	0.572010
306	0.572203
307	0.572378
308	0.572535
309	0.572849
310	0.573077
311	0.573217
312	0.573444
313	0.573723
314	0.573863
315	0.574056
316	0.574283
317	0.574510
318	0.574685
319	0.574912
320	0.575227
321	0.575506
322	0.575629
323	0.575944
324	0.576153
325	0.576363
326	0.576573
327	0.576748
328	0.576887
329	0.577132
330	0.577307
331	0.577499
332	0.577692
333	0.577919
334	0.578129
335	0.578356
336	0.578531
337	0.578705
338	0.578845
339	0.579003
340	0.579300
341	0.579457
342	0.579597
343	0.579737
344	0.580051
345	0.580226
346	0.580453
347	0.580593
348	0.580751
349	0.580943
350	0.581100
351	0.581362
352	0.581747
353	0.581869
354	0.581957
355	0.582149
356	0.582254
357	0.582394
358	0.582656
359	0.582866
360	0.583006
361	0.583303
362	0.583565
363	0.583792
364	0.583967
365	0.584089
366	0.584247
367	0.584456
368	0.584614
369	0.584806
370	0.584981
371	0.585051
372	0.585173
373	0.585400
374	0.585645
375	0.585750
376	0.585977
377	0.586135
378	0.586292
379	0.586554
380	0.586729
381	0.586956
382	0.587131
383	0.587306
384	0.587411
385	0.587568
386	0.587743
387	0.587883
388	0.587987
389	0.588145
390	0.588285
391	0.588372
392	0.588564
393	0.588774
394	0.588914
395	0.589124
396	0.589246
397	0.589368
398	0.589526
399	0.589648
400	0.589840
401	0.590015
402	0.590155
403	0.590330
404	0.590505
405	0.590645
406	0.590784
407	0.590942
408	0.591116
409	0.591291
410	0.591379
411	0.591519
412	0.591676
413	0.591921
414	0.591973
415	0.592130
416	0.592375
417	0.592515
418	0.592620
419	0.592812
420	0.592917
421	0.593057
422	0.593179
423	0.593319
424	0.593476
425	0.593581
426	0.593739
427	0.593913
428	0.594053
429	0.594280
430	0.594420
431	0.594578
432	0.594700
433	0.594840
434	0.594997
435	0.595102
436	0.595294
437	0.595382
438	0.595469
439	0.595574
440	0.595679
441	0.595819
442	0.595959
443	0.596046
444	0.596168
445	0.596326
446	0.596465
447	0.596535
448	0.596710
449	0.596972
450	0.597060
451	0.597200
452	0.597217
453	0.597339
454	0.597479
455	0.597672
456	0.597794
457	0.597951
458	0.598109
459	0.598301
460	0.598388
461	0.598511
462	0.598738
463	0.598860
464	0.599035
465	0.599175
466	0.599315
467	0.599420
468	0.599612
469	0.599717
470	0.599857
471	0.600031
472	0.600206
473	0.600416
474	0.600486
