key	frequency
0	0.089651
1	0.136516
2	0.174910
3	0.202011
4	0.222350
5	0.239221
6	0.253163
7	0.264875
8	0.274583
9	0.283976
10	0.292778
11	0.300342
12	0.307452
13	0.313744
14	0.319826
15	0.324985
16	0.329883
17	0.334658
18	0.338806
19	0.342989
20	0.347171
21	0.351267
22	0.354840
23	0.358639
24	0.361916
25	0.365314
26	0.368155
27	0.370734
28	0.373680
29	0.376346
30	0.379466
31	0.382115
32	0.384416
33	0.386960
34	0.389139
35	0.391352
36	0.393635
37	0.395639
38	0.397748
39	0.399352
40	0.401094
41	0.403029
42	0.404824
43	0.406480
44	0.408380
45	0.410401
46	0.411970
47	0.413660
48	0.415333
49	0.416728
50	0.418366
51	0.419656
52	0.421172
53	0.422967
54	0.424309
55	0.425930
56	0.427254
57	0.428439
58	0.429694
59	0.430914
60	0.432082
61	0.433424
62	0.434783
63	0.436247
64	0.437101
65	0.438182
66	0.439140
67	0.440430
68	0.441476
69	0.442417
70	0.443166
71	0.444404
72	0.445519
73	0.446669
74	0.447471
75	0.448325
76	0.449092
77	0.450207
78	0.451166
79	0.452247
80	0.453153
81	0.454007
82	0.454861
83	0.455628
84	0.456447
85	0.457231
86	0.458155
87	0.459026
88	0.459828
89	0.460647
90	0.461431
91	0.462198
92	0.462808
93	0.463505
94	0.464272
95	0.465039
96	0.465771
97	0.466625
98	0.467252
99	0.467897
100	0.468559
101	0.469274
102	0.469919
103	0.470564
104	0.471418
105	0.471923
106	0.472707
107	0.473282
108	0.473683
109	0.474380
110	0.475025
111	0.475513
112	0.476280
113	0.476873
114	0.477483
115	0.477918
116	0.478441
117	0.479138
118	0.479679
119	0.480306
120	0.481038
121	0.481561
122	0.482119
123	0.482694
124	0.483199
125	0.483652
126	0.484088
127	0.484698
128	0.485099
129	0.485604
130	0.486005
131	0.486406
132	0.486894
133	0.487434
134	0.487957
135	0.488497
136	0.489055
137	0.489369
138	0.489752
139	0.490136
140	0.490502
141	0.490920
142	0.491495
143	0.491966
144	0.492366
145	0.492924
146	0.493534
147	0.494040
148	0.494615
149	0.495260
150	0.495730
151	0.496270
152	0.496898
153	0.497281
154	0.497682
155	0.498257
156	0.498623
157	0.498989
158	0.499460
159	0.499895
160	0.500296
161	0.500732
162	0.501028
163	0.501447
164	0.501778
165	0.502335
166	0.502719
167	0.503137
168	0.503503
169	0.503852
170	0.504374
171	0.504688
172	0.505176
173	0.505612
174	0.506030
175	0.506396
176	0.506745
177	0.507180
178	0.507546
179	0.507965
180	0.508261
181	0.508575
182	0.509115
183	0.509376
184	0.509708
185	0.510039
186	0.510283
187	0.510579
188	0.510928
189	0.511276
190	0.511729
191	0.512165
192	0.512479
193	0.512723
194	0.513106
195	0.513489
196	0.513821
197	0.514187
198	0.514431
199	0.514797
200	0.515163
201	0.515441
202	0.515912
203	0.516313
204	0.516505
205	0.516888
206	0.517341
207	0.517637
208	0.517969
209	0.518300
210	0.518526
211	0.518875
212	0.519171
213	0.519572
214	0.520043
215	0.520287
216	0.520548
217	0.520879
218	0.521158
219	0.521576
220	0.521820
221	0.522082
222	0.522413
223	0.522726
224	0.522953
225	0.523319
226	0.523702
227	0.523946
228	0.524243
229	0.524504
230	0.524818
231	0.525027
232	0.525219
233	0.525602
234	0.526003
235	0.526299
236	0.526508
237	0.526665
238	0.526927
239	0.527136
240	0.527432
241	0.527641
242	0.527920
243	0.528094
244	0.528216
245	0.528460
246	0.528670
247	0.528983
248	0.529192
249	0.529436
250	0.529785
251	0.530099
252	0.530343
253	0.530639
254	0.530918
255	0.531092
256	0.531441
257	0.531807
258	0.532033
259	0.532260
260	0.532486
261	0.532905
262	0.533218
263	0.533480
264	0.533654
265	0.533933
266	0.534194
267	0.534456
268	0.534682
269	0.534961
270	0.535292
271	0.535606
272	0.535815
273	0.536059
274	0.536338
275	0.536565
276	0.536843
277	0.537087
278	0.537349
279	0.537471
280	0.537697
281	0.537854
282	0.538029
283	0.538255
284	0.538464
285	0.538604
286	0.538865
287	0.539214
288	0.539440
289	0.539597
290	0.539876
291	0.540137
292	0.540346
293	0.540468
294	0.540590
295	0.540817
296	0.541009
297	0.541270
298	0.541479
299	0.541619
300	0.541880
301	0.542124
302	0.542281
303	0.542577
304	0.542821
305	0.542978
306	0.543240
307	0.543449
308	0.543658
309	0.543815
310	0.544006
311	0.544250
312	0.544529
313	0.544773
314	0.544895
315	0.545104
316	0.545226
317	0.545523
318	0.545784
319	0.545976
320	0.546098
321	0.546202
322	0.546342
323	0.546534
324	0.546830
325	0.547022
326	0.547283
327	0.547544
328	0.547666
329	0.547841
330	0.548085
331	0.548311
332	0.548468
333	0.548695
334	0.548939
335	0.549061
336	0.549217
337	0.549461
338	0.549740
339	0.549862
340	0.549949
341	0.550037
342	0.550176
343	0.550333
344	0.550559
345	0.550664
346	0.550943
347	0.551065
348	0.551204
349	0.551326
350	0.551483
351	0.551675
352	0.551867
353	0.552023
354	0.552180
355	0.552320
356	0.552511
357	0.552703
358	0.552843
359	0.553034
360	0.553156
361	0.553383
362	0.553609
363	0.553836
364	0.554097
365	0.554289
366	0.554394
367	0.554568
368	0.554777
369	0.554917
370	0.555073
371	0.555178
372	0.555283
373	0.555422
374	0.555596
375	0.555788
376	0.556015
377	0.556206
378	0.556380
379	0.556537
380	0.556746
381	0.556921
382	0.557060
383	0.557130
384	0.557322
385	0.557496
386	0.557618
387	0.557757
388	0.557914
389	0.558088
390	0.558263
391	0.558489
392	0.558611
393	0.558820
394	0.559064
395	0.559186
396	0.559343
397	0.559500
398	0.559657
399	0.559831
400	0.559971
401	0.560093
402	0.560215
403	0.560319
404	0.560406
405	0.560476
406	0.560528
407	0.560650
408	0.560842
409	0.560877
410	0.561156
411	0.561452
412	0.561696
413	0.561818
414	0.561975
415	0.562080
416	0.562149
417	0.562324
418	0.562463
419	0.562550
420	0.562724
421	0.562881
422	0.563073
423	0.563334
424	0.563439
425	0.563631
426	0.563735
427	0.563944
428	0.564119
429	0.564206
430	0.564310
431	0.564415
432	0.564589
433	0.564746
434	0.564781
435	0.564885
436	0.565007
437	0.565147
438	0.565304
439	0.565408
440	0.565583
441	0.565774
442	0.566036
443	0.566280
444	0.566593
445	0.566837
446	0.567064
447	0.567203
448	0.567360
449	0.567482
450	0.567726
451	0.567866
452	0.568110
453	0.568301
454	0.568441
455	0.568563
456	0.568824
457	0.568859
458	0.568894
459	0.569033
460	0.569208
461	0.569312
462	0.569452
463	0.569609
464	0.569678
465	0.569835
466	0.569957
467	0.570027
468	0.570201
469	0.570288
470	0.570375
471	0.570567
472	0.570689
473	0.570916
474	0.571055
475	0.571177
476	0.571317
477	0.571439
478	0.571561
479	0.571595
480	0.571787
481	0.571892
482	0.571961
483	0.572223
484	0.572345
485	0.572432
486	0.572537
487	0.572624
488	0.572781
489	0.572937
490	0.573025
491	0.573077
492	0.573199
493	0.573321
494	0.573443
495	0.573582
496	0.573652
497	0.573739
498	0.573826
499	0.573896
500	0.574000
501	0.574053
502	0.574175
503	0.574297
504	0.574488
505	0.574610
506	0.574767
507	0.574872
508	0.575029
509	0.575151
510	0.575220
511	0.575430
512	0.575534
513	0.575674
514	0.575708
515	0.575830
516	0.575987
517	0.576092
518	0.576144
519	0.576249
520	0.576371
521	0.576493
522	0.576684
523	0.576806
524	0.576894
525	0.577033
526	0.577103
527	0.577260
528	0.577329
529	0.577347
530	0.577486
531	0.577591
532	0.577678
533	0.577817
534	0.577939
535	0.578079
536	0.578270
537	0.578392
538	0.578532
539	0.578619
540	0.578741
541	0.578793
542	0.578968
543	0.579020
544	0.579177
545	0.579316
546	0.579403
547	0.579508
548	0.579630
549	0.579752
550	0.579874
551	0.579926
552	0.580031
553	0.580135
554	0.580153
555	0.580275
556	0.580379
557	0.580432
558	0.580501
559	0.580606
560	0.580658
561	0.580798
562	0.580902
563	0.581024
564	0.581146
565	0.581233
566	0.581460
567	0.581634
568	0.581721
569	0.581878
570	0.582017
571	0.582174
572	0.582279
573	0.582383
574	0.582471
575	0.582558
576	0.582645
577	0.582732
578	0.582889
579	0.582993
580	0.583098
581	0.583290
582	0.583342
583	0.583394
