key	frequency
0	0.000100
1	0.000250
2	0.000333
3	0.000400
4	0.000433
5	0.000483
6	0.000517
7	0.000550
8	0.000567
9	0.000617
10	0.000667
11	0.000717
12	0.000767
13	0.000833
14	0.000900
15	0.000933
16	0.000967
17	0.000983
19	0.001067
20	0.001117
21	0.001183
23	0.001217
25	0.001283
26	0.001367
27	0.001400
29	0.001450
31	0.001467
33	0.001500
34	0.001517
36	0.001567
37	0.001583
39	0.001617
40	0.001633
43	0.001683
44	0.001733
47	0.001800
50	0.001817
51	0.001867
52	0.001883
53	0.001933
54	0.001950
55	0.002017
58	0.002033
60	0.002050
62	0.002100
63	0.002117
66	0.002133
68	0.002167
69	0.002233
73	0.002250
75	0.002283
76	0.002333
77	0.002383
79	0.002400
80	0.002417
81	0.002467
82	0.002500
83	0.002533
84	0.002550
85	0.002617
87	0.002633
90	0.002650
91	0.002700
92	0.002717
93	0.002733
95	0.002767
96	0.002783
99	0.002800
104	0.002833
106	0.002867
108	0.002883
109	0.002900
110	0.002933
111	0.002967
113	0.002983
114	0.003000
115	0.003017
116	0.003067
117	0.003083
119	0.003100
122	0.003150
124	0.003183
125	0.003217
126	0.003233
128	0.003250
129	0.003283
130	0.003317
132	0.003333
133	0.003350
134	0.003367
136	0.003400
137	0.003417
139	0.003450
140	0.003467
141	0.003483
142	0.003500
146	0.003517
150	0.003550
151	0.003600
153	0.003633
154	0.003650
156	0.003667
158	0.003683
163	0.003700
166	0.003717
168	0.003750
169	0.003783
170	0.003800
171	0.003817
172	0.003867
173	0.003883
176	0.003933
177	0.003950
180	0.003983
181	0.004000
183	0.004033
184	0.004050
185	0.004083
191	0.004100
193	0.004117
195	0.004133
198	0.004150
203	0.004183
204	0.004217
205	0.004233
208	0.004250
209	0.004267
210	0.004283
211	0.004300
212	0.004367
213	0.004383
214	0.004400
218	0.004417
219	0.004433
222	0.004450
225	0.004483
227	0.004500
229	0.004517
231	0.004533
235	0.004550
237	0.004567
240	0.004583
243	0.004600
244	0.004633
245	0.004650
248	0.004667
250	0.004683
252	0.004700
253	0.004717
256	0.004783
257	0.004800
263	0.004817
264	0.004833
267	0.004850
271	0.004883
273	0.004900
274	0.004917
275	0.004933
280	0.004950
284	0.004967
285	0.004983
288	0.005000
293	0.005017
296	0.005033
297	0.005067
298	0.005083
302	0.005117
303	0.005150
304	0.005167
305	0.005183
306	0.005200
307	0.005217
308	0.005250
310	0.005267
311	0.005317
313	0.005350
314	0.005367
317	0.005400
318	0.005417
319	0.005450
321	0.005467
323	0.005500
324	0.005517
326	0.005533
328	0.005567
330	0.005583
331	0.005600
340	0.005633
342	0.005650
345	0.005667
348	0.005700
349	0.005717
355	0.005733
357	0.005767
363	0.005783
365	0.005800
367	0.005817
368	0.005850
370	0.005867
371	0.005883
374	0.005917
376	0.005933
379	0.005950
380	0.005967
381	0.005983
390	0.006000
392	0.006017
393	0.006033
397	0.006050
398	0.006067
400	0.006083
403	0.006100
404	0.006133
407	0.006150
410	0.006167
412	0.006183
417	0.006200
420	0.006217
421	0.006233
422	0.006250
425	0.006267
428	0.006283
431	0.006300
432	0.006317
442	0.006333
446	0.006350
447	0.006367
455	0.006383
457	0.006400
459	0.006417
461	0.006450
463	0.006483
466	0.006500
468	0.006517
470	0.006567
471	0.006583
476	0.006600
480	0.006617
486	0.006633
489	0.006650
490	0.006667
494	0.006683
497	0.006700
505	0.006717
506	0.006767
510	0.006817
511	0.006833
512	0.006850
513	0.006867
514	0.006883
515	0.006900
517	0.006917
518	0.006933
521	0.006967
522	0.006983
525	0.007000
528	0.007017
531	0.007033
532	0.007067
539	0.007083
540	0.007100
541	0.007117
545	0.007133
546	0.007167
547	0.007183
552	0.007200
554	0.007233
555	0.007250
558	0.007267
563	0.007283
565	0.007300
566	0.007317
567	0.007333
568	0.007350
570	0.007367
574	0.007383
575	0.007400
576	0.007417
577	0.007433
581	0.007450
584	0.007467
591	0.007500
592	0.007517
595	0.007533
599	0.007550
601	0.007567
602	0.007583
608	0.007600
609	0.007617
611	0.007650
612	0.007667
621	0.007683
622	0.007700
624	0.007717
628	0.007733
629	0.007750
630	0.007783
632	0.007800
634	0.007833
637	0.007867
643	0.007900
644	0.007917
646	0.007933
652	0.007950
653	0.007967
654	0.007983
658	0.008000
661	0.008017
665	0.008033
667	0.008050
668	0.008067
683	0.008083
686	0.008100
688	0.008117
690	0.008133
691	0.008150
695	0.008167
712	0.008183
721	0.008200
728	0.008217
735	0.008250
744	0.008267
746	0.008283
752	0.008300
753	0.008317
756	0.008333
757	0.008350
759	0.008367
764	0.008383
765	0.008400
766	0.008417
767	0.008433
768	0.008450
770	0.008467
772	0.008483
773	0.008500
778	0.008517
780	0.008533
784	0.008550
785	0.008567
792	0.008583
794	0.008600
799	0.008617
800	0.008633
801	0.008650
803	0.008667
806	0.008700
810	0.008717
813	0.008733
815	0.008750
816	0.008767
817	0.008783
824	0.008800
825	0.008817
828	0.008850
831	0.008867
838	0.008883
841	0.008900
843	0.008917
851	0.008967
858	0.009000
860	0.009017
861	0.009033
865	0.009067
875	0.009083
877	0.009100
880	0.009117
881	0.009150
887	0.009183
892	0.009200
894	0.009217
896	0.009233
910	0.009250
912	0.009267
917	0.009283
918	0.009317
921	0.009333
931	0.009350
934	0.009383
938	0.009400
940	0.009417
943	0.009433
945	0.009450
946	0.009467
950	0.009483
952	0.009500
959	0.009517
963	0.009533
965	0.009550
972	0.009600
973	0.009617
975	0.009633
977	0.009650
978	0.009667
980	0.009683
981	0.009717
