key	frequency
0	0.013717
1	0.020617
2	0.026900
3	0.032017
4	0.035617
5	0.039050
6	0.042117
7	0.045267
8	0.047567
9	0.049550
10	0.051767
11	0.053650
12	0.055433
13	0.057000
14	0.058750
15	0.060050
16	0.061350
17	0.062700
18	0.064100
19	0.065483
20	0.066483
21	0.067567
22	0.068650
23	0.069267
24	0.070333
25	0.071300
26	0.072100
27	0.073267
28	0.074017
29	0.074900
30	0.075650
31	0.076500
32	0.077233
33	0.078100
34	0.079017
35	0.079733
36	0.080433
37	0.081200
38	0.081783
39	0.082483
40	0.083183
41	0.083917
42	0.084633
43	0.085433
44	0.086183
45	0.086717
46	0.087367
47	0.087933
48	0.088767
49	0.089417
50	0.089917
51	0.090533
52	0.091217
53	0.091617
54	0.092050
55	0.092533
56	0.093100
57	0.093683
58	0.094217
59	0.094717
60	0.095150
61	0.095567
62	0.096033
63	0.096517
64	0.096783
65	0.097217
66	0.097667
67	0.098050
68	0.098533
69	0.099083
70	0.099467
71	0.099900
72	0.100533
73	0.100867
74	0.101383
75	0.101900
76	0.102317
77	0.102833
78	0.103250
79	0.103783
80	0.104217
81	0.104600
82	0.105033
83	0.105467
84	0.105750
85	0.106333
86	0.106667
87	0.107200
88	0.107583
89	0.107900
90	0.108183
91	0.108517
92	0.108850
93	0.109233
94	0.109683
95	0.110133
96	0.110467
97	0.110800
98	0.111050
99	0.111350
100	0.111600
101	0.112083
102	0.112367
103	0.112733
104	0.113167
105	0.113483
106	0.113750
107	0.113883
108	0.114133
109	0.114450
110	0.114900
111	0.115133
112	0.115600
113	0.115817
114	0.116200
115	0.116567
116	0.116867
117	0.117183
118	0.117500
119	0.117750
120	0.118117
121	0.118533
122	0.118850
123	0.119083
124	0.119400
125	0.119633
126	0.119833
127	0.120183
128	0.120300
129	0.120583
130	0.120817
131	0.121067
132	0.121250
133	0.121500
134	0.121717
135	0.122033
136	0.122367
137	0.122633
138	0.122867
139	0.123150
140	0.123383
141	0.123633
142	0.123817
143	0.124183
144	0.124517
145	0.124750
146	0.125017
147	0.125250
148	0.125567
149	0.125883
150	0.126067
151	0.126350
152	0.126617
153	0.126817
154	0.127050
155	0.127250
156	0.127550
157	0.127700
158	0.127917
159	0.128300
160	0.128550
161	0.128733
162	0.128917
163	0.129117
164	0.129250
165	0.129533
166	0.129750
167	0.130017
168	0.130233
169	0.130483
170	0.130650
171	0.130850
172	0.131100
173	0.131317
174	0.131567
175	0.131733
176	0.131933
177	0.132133
178	0.132300
179	0.132533
180	0.132717
181	0.132850
182	0.133117
183	0.133317
184	0.133517
185	0.133650
186	0.133867
187	0.134100
188	0.134217
189	0.134400
190	0.134633
191	0.134800
192	0.134950
193	0.135133
194	0.135300
195	0.135517
196	0.135783
197	0.136050
198	0.136233
199	0.136450
200	0.136683
201	0.136867
202	0.137050
203	0.137217
204	0.137483
205	0.137633
206	0.137750
207	0.137917
208	0.138150
209	0.138300
210	0.138500
211	0.138750
212	0.138967
213	0.139133
214	0.139300
215	0.139533
216	0.139683
217	0.139850
218	0.140067
219	0.140133
220	0.140333
221	0.140533
222	0.140817
223	0.140967
224	0.141083
225	0.141200
226	0.141433
227	0.141633
228	0.141767
229	0.141950
230	0.142083
231	0.142217
232	0.142350
233	0.142533
234	0.142617
235	0.142750
236	0.142800
237	0.143033
238	0.143217
239	0.143433
240	0.143683
241	0.143850
242	0.144050
243	0.144300
244	0.144550
245	0.144700
246	0.144850
247	0.145050
248	0.145167
249	0.145433
250	0.145583
251	0.145700
252	0.145817
253	0.146033
254	0.146200
255	0.146367
256	0.146617
257	0.146733
258	0.146867
259	0.146983
260	0.147133
261	0.147317
262	0.147500
263	0.147600
264	0.147683
265	0.147783
266	0.147950
267	0.148083
268	0.148150
269	0.148233
270	0.148300
271	0.148500
272	0.148733
273	0.148933
274	0.149067
275	0.149150
276	0.149317
277	0.149433
278	0.149633
279	0.149833
280	0.149983
281	0.150183
282	0.150350
283	0.150517
284	0.150633
285	0.150750
286	0.150850
287	0.150967
288	0.151100
289	0.151283
290	0.151417
291	0.151583
292	0.151683
293	0.151867
294	0.152067
295	0.152083
296	0.152133
297	0.152233
298	0.152333
299	0.152467
300	0.152650
301	0.152833
302	0.152983
303	0.153083
304	0.153333
305	0.153433
306	0.153567
307	0.153717
308	0.153883
309	0.154033
310	0.154150
311	0.154200
312	0.154350
313	0.154483
314	0.154717
315	0.154933
316	0.155050
317	0.155217
318	0.155400
319	0.155517
320	0.155567
321	0.155667
322	0.155783
323	0.155983
324	0.156200
325	0.156483
326	0.156683
327	0.156817
328	0.156917
329	0.157033
330	0.157150
331	0.157283
332	0.157400
333	0.157567
334	0.157717
335	0.157817
336	0.157900
