key	frequency
486	0.044667
487	0.044700
488	0.044717
489	0.044733
490	0.044750
491	0.044817
492	0.044850
493	0.044917
494	0.044950
495	0.044967
496	0.045050
497	0.045067
499	0.045150
500	0.045200
501	0.045233
502	0.045267
503	0.045300
504	0.045350
505	0.045417
506	0.045467
507	0.045483
509	0.045500
511	0.045517
512	0.045583
514	0.045617
515	0.045633
516	0.045650
517	0.045717
518	0.045733
519	0.045750
521	0.045767
522	0.045817
523	0.045883
524	0.045917
525	0.045967
526	0.045983
528	0.046000
529	0.046017
530	0.046050
531	0.046083
532	0.046117
533	0.046133
534	0.046183
535	0.046233
537	0.046267
538	0.046283
539	0.046317
541	0.046400
543	0.046433
545	0.046483
546	0.046500
547	0.046517
548	0.046550
549	0.046567
551	0.046600
552	0.046617
553	0.046633
554	0.046700
555	0.046783
556	0.046817
558	0.046833
559	0.046900
560	0.046933
563	0.046967
564	0.046983
565	0.047000
566	0.047017
567	0.047067
568	0.047100
569	0.047117
571	0.047150
572	0.047200
573	0.047267
575	0.047300
577	0.047383
578	0.047483
580	0.047533
582	0.047567
583	0.047633
584	0.047667
586	0.047700
587	0.047717
589	0.047783
590	0.047817
591	0.047883
592	0.047917
594	0.047933
596	0.047983
597	0.048000
600	0.048017
601	0.048067
602	0.048133
605	0.048200
606	0.048233
608	0.048250
610	0.048317
611	0.048333
612	0.048383
613	0.048417
614	0.048450
615	0.048483
617	0.048500
618	0.048517
619	0.048533
620	0.048567
622	0.048583
623	0.048600
624	0.048633
625	0.048667
626	0.048683
628	0.048700
629	0.048717
630	0.048733
631	0.048750
632	0.048767
633	0.048783
634	0.048800
636	0.048817
637	0.048833
638	0.048850
640	0.048883
641	0.048900
642	0.048950
644	0.048983
645	0.049000
646	0.049033
647	0.049050
648	0.049067
649	0.049100
650	0.049117
653	0.049150
654	0.049167
655	0.049217
656	0.049233
657	0.049283
660	0.049350
664	0.049417
665	0.049450
666	0.049500
667	0.049533
668	0.049550
670	0.049583
671	0.049617
672	0.049633
673	0.049650
674	0.049667
675	0.049683
676	0.049700
677	0.049750
678	0.049800
680	0.049817
681	0.049850
682	0.049900
684	0.049933
686	0.049950
688	0.049967
689	0.049983
690	0.050017
692	0.050033
693	0.050050
695	0.050083
697	0.050117
699	0.050133
700	0.050150
701	0.050167
702	0.050200
703	0.050233
704	0.050283
705	0.050317
707	0.050350
708	0.050367
709	0.050383
710	0.050400
711	0.050433
713	0.050450
715	0.050483
716	0.050500
717	0.050533
718	0.050583
719	0.050633
720	0.050650
721	0.050683
722	0.050767
723	0.050800
724	0.050850
730	0.050867
731	0.050950
732	0.050967
733	0.050983
734	0.051000
735	0.051050
736	0.051083
737	0.051117
739	0.051133
740	0.051167
742	0.051217
744	0.051233
745	0.051283
748	0.051317
749	0.051333
750	0.051367
751	0.051383
752	0.051450
753	0.051483
754	0.051517
755	0.051533
756	0.051567
757	0.051583
758	0.051633
759	0.051667
760	0.051683
761	0.051700
762	0.051717
764	0.051767
765	0.051800
766	0.051817
768	0.051833
769	0.051850
770	0.051900
771	0.051933
772	0.051950
773	0.051967
774	0.051983
775	0.052033
776	0.052050
777	0.052083
781	0.052100
783	0.052117
784	0.052150
785	0.052167
786	0.052183
787	0.052233
788	0.052267
789	0.052283
790	0.052317
791	0.052367
792	0.052383
793	0.052400
794	0.052417
795	0.052450
796	0.052500
797	0.052533
798	0.052600
799	0.052633
800	0.052683
801	0.052700
803	0.052733
804	0.052783
806	0.052833
807	0.052867
809	0.052933
810	0.052983
811	0.053017
812	0.053033
813	0.053050
814	0.053067
815	0.053133
817	0.053150
818	0.053200
819	0.053233
820	0.053250
822	0.053267
823	0.053300
826	0.053317
827	0.053333
828	0.053350
829	0.053367
832	0.053400
833	0.053417
834	0.053467
835	0.053483
837	0.053517
839	0.053533
842	0.053550
843	0.053583
844	0.053617
845	0.053633
846	0.053650
847	0.053667
848	0.053733
849	0.053783
850	0.053817
851	0.053850
852	0.053883
853	0.053950
854	0.053967
855	0.053983
856	0.054033
859	0.054050
860	0.054083
861	0.054100
862	0.054133
863	0.054150
864	0.054167
866	0.054183
869	0.054217
870	0.054233
871	0.054250
873	0.054283
875	0.054333
876	0.054367
878	0.054383
881	0.054400
882	0.054417
884	0.054433
887	0.054467
888	0.054500
890	0.054517
891	0.054550
892	0.054567
894	0.054600
895	0.054633
897	0.054667
898	0.054700
902	0.054717
903	0.054733
904	0.054750
905	0.054783
906	0.054800
907	0.054817
908	0.054833
909	0.054867
910	0.054883
912	0.054900
913	0.054933
915	0.054950
916	0.054983
918	0.055000
919	0.055050
921	0.055067
922	0.055133
923	0.055183
924	0.055200
925	0.055233
926	0.055250
929	0.055300
930	0.055333
931	0.055350
935	0.055367
936	0.055383
937	0.055400
938	0.055417
939	0.055433
940	0.055467
942	0.055483
943	0.055500
946	0.055567
947	0.055617
949	0.055633
950	0.055650
951	0.055683
952	0.055717
956	0.055750
957	0.055783
958	0.055800
960	0.055817
961	0.055867
962	0.055900
963	0.055917
964	0.055950
966	0.056000
967	0.056017
970	0.056067
971	0.056083
972	0.056150
973	0.056167
974	0.056183
976	0.056233
979	0.056300
980	0.056317
982	0.056367
983	0.056383
985	0.056400
986	0.056433
989	0.056483
990	0.056500
992	0.056567
993	0.056583
994	0.056617
995	0.056633
996	0.056650
998	0.056700
999	0.056733
1000	0.056767
1001	0.056783
1004	0.056817
1005	0.056833
1006	0.056850
1007	0.056867
1013	0.056917
1016	0.057000
1017	0.057033
1019	0.057050
1020	0.057067
1022	0.057083
1024	0.057117
1025	0.057150
1026	0.057183
1027	0.057200
1028	0.057217
1029	0.057250
1030	0.057283
1031	0.057300
1034	0.057317
1035	0.057333
1036	0.057350
1037	0.057400
1039	0.057433
1041	0.057450
1042	0.057483
1043	0.057500
1044	0.057517
1045	0.057567
1046	0.057600
1047	0.057650
1049	0.057667
1050	0.057683
1051	0.057700
1052	0.057717
1055	0.057750
1056	0.057783
1057	0.057817
1059	0.057850
1060	0.057883
1061	0.057900
1062	0.057950
1063	0.057983
1064	0.058033
1066	0.058067
1067	0.058083
1071	0.058100
1074	0.058117
1076	0.058133
1078	0.058167
1080	0.058200
1081	0.058233
1084	0.058250
1085	0.058267
1086	0.058283
1089	0.058300
1092	0.058350
1093	0.058383
1094	0.058400
1095	0.058433
1096	0.058483
1097	0.058500
1098	0.058550
1099	0.058583
1102	0.058617
1103	0.058633
1104	0.058700
1106	0.058750
1109	0.058817
1110	0.058833
1111	0.058867
1114	0.058900
1115	0.058933
1116	0.058950
1118	0.058967
1119	0.058983
1122	0.059017
1125	0.059050
1126	0.059067
1128	0.059100
1130	0.059117
1131	0.059133
1134	0.059150
1135	0.059167
1136	0.059183
1137	0.059200
1138	0.059250
1140	0.059300
1141	0.059317
1142	0.059350
1143	0.059367
1144	0.059383
1148	0.059400
1149	0.059417
1150	0.059433
1151	0.059467
1158	0.059500
1161	0.059533
1162	0.059550
1164	0.059583
1166	0.059600
1171	0.059617
1174	0.059633
1175	0.059650
1176	0.059667
1177	0.059683
1178	0.059700
1179	0.059717
1180	0.059750
1182	0.059800
1185	0.059817
1186	0.059833
1187	0.059850
1189	0.059883
1190	0.059900
1193	0.059917
1199	0.059933
1200	0.059950
1201	0.059983
1202	0.060000
1203	0.060017
1205	0.060067
1207	0.060083
1209	0.060117
1211	0.060133
1212	0.060150
1213	0.060167
1214	0.060183
1215	0.060200
1216	0.060233
1218	0.060267
1219	0.060300
1220	0.060333
1221	0.060350
1222	0.060367
1224	0.060400
1225	0.060417
1228	0.060450
1229	0.060483
1230	0.060500
1232	0.060533
1233	0.060567
1235	0.060583
1236	0.060600
1237	0.060667
1239	0.060683
1243	0.060700
1244	0.060750
1246	0.060800
1248	0.060833
1249	0.060850
1253	0.060883
1254	0.060917
1255	0.060950
1257	0.060983
1258	0.061000
1259	0.061017
1260	0.061050
1261	0.061083
1262	0.061117
1263	0.061150
1266	0.061167
1268	0.061183
1270	0.061217
1272	0.061250
1273	0.061267
1274	0.061283
1275	0.061300
1276	0.061333
1277	0.061350
1278	0.061367
1280	0.061400
1281	0.061417
1285	0.061450
1288	0.061467
1289	0.061517
1290	0.061567
1291	0.061583
1292	0.061600
1294	0.061617
1296	0.061650
1300	0.061667
1303	0.061683
1304	0.061700
1305	0.061717
1306	0.061750
1307	0.061767
1308	0.061800
1309	0.061817
1310	0.061833
1311	0.061850
1313	0.061867
1315	0.061883
1318	0.061950
1319	0.061967
1320	0.062000
1321	0.062050
1322	0.062083
1323	0.062100
1324	0.062133
1325	0.062167
1327	0.062200
1331	0.062217
1334	0.062233
1335	0.062250
1336	0.062267
1338	0.062300
1339	0.062333
1340	0.062367
1341	0.062383
1342	0.062400
1346	0.062417
1351	0.062433
1352	0.062467
1353	0.062500
1354	0.062533
1356	0.062600
1357	0.062617
1358	0.062650
1359	0.062683
1361	0.062733
1362	0.062783
1363	0.062817
1365	0.062850
1366	0.062883
1368	0.062900
1369	0.062917
1371	0.062933
1372	0.062950
1375	0.062967
1376	0.062983
1377	0.063000
1379	0.063017
1380	0.063050
1381	0.063067
1382	0.063083
1384	0.063117
1386	0.063133
1387	0.063150
1388	0.063167
1389	0.063183
1392	0.063200
1394	0.063233
1398	0.063250
1399	0.063283
1400	0.063300
1401	0.063317
1402	0.063333
1405	0.063350
1407	0.063383
1408	0.063400
1409	0.063417
1411	0.063433
1412	0.063450
1413	0.063467
1416	0.063483
1419	0.063500
1420	0.063533
1422	0.063567
1423	0.063617
1424	0.063650
1426	0.063667
1427	0.063717
1428	0.063733
1431	0.063750
1434	0.063767
1435	0.063817
1436	0.063850
1437	0.063867
1438	0.063900
1439	0.063917
1444	0.063933
1446	0.063967
1448	0.064000
1449	0.064033
1450	0.064067
1452	0.064083
1453	0.064117
1456	0.064133
1459	0.064167
1460	0.064183
1466	0.064200
1467	0.064217
1469	0.064283
1470	0.064300
1472	0.064333
1474	0.064350
1475	0.064383
1476	0.064400
1477	0.064417
1478	0.064483
1479	0.064533
1481	0.064550
1482	0.064567
1486	0.064600
1488	0.064617
1491	0.064650
1492	0.064667
1493	0.064700
1494	0.064733
1496	0.064767
1499	0.064817
1500	0.064833
1502	0.064850
1505	0.064867
1508	0.064900
1509	0.064917
1510	0.064933
1511	0.064983
1513	0.065000
1515	0.065033
1516	0.065050
1520	0.065100
1522	0.065117
1523	0.065150
1525	0.065183
1527	0.065217
1528	0.065233
1532	0.065250
1536	0.065267
1537	0.065300
1542	0.065333
1544	0.065367
1547	0.065400
1548	0.065433
1549	0.065467
1550	0.065483
1551	0.065500
1552	0.065517
1554	0.065533
1556	0.065567
1557	0.065600
1558	0.065617
1560	0.065633
1561	0.065650
1562	0.065683
1568	0.065717
1569	0.065733
1570	0.065750
1574	0.065767
