key	frequency
0	0.000150
1	0.000167
2	0.000183
3	0.000250
5	0.000267
6	0.000283
9	0.000317
11	0.000367
17	0.000383
18	0.000400
19	0.000417
20	0.000450
23	0.000483
25	0.000500
28	0.000517
31	0.000533
36	0.000550
40	0.000567
44	0.000617
48	0.000633
53	0.000667
56	0.000683
58	0.000700
59	0.000733
65	0.000750
69	0.000800
73	0.000817
74	0.000833
79	0.000867
80	0.000883
81	0.000917
88	0.000950
93	0.000967
97	0.000983
98	0.001017
101	0.001033
107	0.001050
120	0.001067
130	0.001100
131	0.001117
135	0.001133
136	0.001150
144	0.001183
158	0.001200
159	0.001217
162	0.001233
172	0.001250
180	0.001267
185	0.001283
188	0.001300
192	0.001317
197	0.001333
199	0.001350
212	0.001367
223	0.001383
225	0.001400
228	0.001417
233	0.001433
241	0.001450
244	0.001467
245	0.001483
247	0.001500
283	0.001517
286	0.001533
291	0.001550
293	0.001567
294	0.001583
296	0.001600
301	0.001617
302	0.001633
308	0.001650
313	0.001667
314	0.001700
315	0.001717
319	0.001750
322	0.001767
329	0.001783
353	0.001800
362	0.001850
372	0.001867
380	0.001883
412	0.001900
420	0.001917
424	0.001950
447	0.001967
457	0.002000
462	0.002017
486	0.002033
489	0.002050
500	0.002067
511	0.002100
526	0.002117
551	0.002133
557	0.002150
562	0.002167
577	0.002183
599	0.002200
606	0.002217
610	0.002233
616	0.002250
621	0.002267
632	0.002283
633	0.002300
641	0.002317
645	0.002333
647	0.002350
651	0.002367
654	0.002383
660	0.002400
684	0.002417
720	0.002450
722	0.002467
726	0.002483
729	0.002500
743	0.002517
773	0.002533
785	0.002550
814	0.002567
824	0.002583
828	0.002600
829	0.002617
832	0.002633
835	0.002650
847	0.002667
867	0.002683
872	0.002700
874	0.002717
876	0.002733
882	0.002750
888	0.002767
903	0.002800
916	0.002817
923	0.002833
935	0.002850
952	0.002867
960	0.002883
972	0.002900
1012	0.002917
1014	0.002933
1020	0.002950
1030	0.002967
1032	0.002983
1035	0.003000
1037	0.003017
1048	0.003033
1052	0.003050
1054	0.003067
1055	0.003083
1067	0.003100
1072	0.003117
1079	0.003133
1081	0.003150
1085	0.003167
1087	0.003183
1091	0.003200
1105	0.003217
1107	0.003233
1112	0.003250
1115	0.003267
1117	0.003283
1118	0.003300
1121	0.003317
1133	0.003333
1142	0.003350
1154	0.003367
1158	0.003383
1182	0.003400
1199	0.003417
1216	0.003433
1220	0.003450
1222	0.003467
1226	0.003483
1239	0.003517
1253	0.003533
1257	0.003550
1258	0.003567
1269	0.003583
1280	0.003600
1284	0.003617
1322	0.003633
1336	0.003650
1340	0.003667
1355	0.003683
1356	0.003717
1364	0.003733
1390	0.003750
1393	0.003767
1428	0.003783
1436	0.003800
1451	0.003817
1479	0.003833
1483	0.003850
1490	0.003867
1494	0.003883
1507	0.003900
1554	0.003917
1560	0.003950
1563	0.003967
1592	0.003983
1598	0.004000
1620	0.004017
1622	0.004033
1631	0.004050
1652	0.004067
1654	0.004083
1674	0.004100
1781	0.004117
1791	0.004133
1797	0.004150
1807	0.004167
1811	0.004183
1814	0.004200
1876	0.004217
1900	0.004233
1922	0.004250
