key	frequency
0	0.012515
1	0.020809
2	0.026967
3	0.032056
4	0.035878
5	0.038598
6	0.041751
7	0.044555
8	0.046758
9	0.048577
10	0.050462
11	0.052181
12	0.053833
13	0.055285
14	0.057120
15	0.058706
16	0.060208
17	0.061476
18	0.062811
19	0.064363
20	0.065764
21	0.066716
22	0.067817
23	0.069135
24	0.070187
25	0.071238
26	0.072189
27	0.072990
28	0.074025
29	0.074959
30	0.076044
31	0.076795
32	0.077512
33	0.078380
34	0.079298
35	0.079949
36	0.080649
37	0.081317
38	0.082035
39	0.082652
40	0.083219
41	0.083954
42	0.084571
43	0.085272
44	0.085973
45	0.086607
46	0.087258
47	0.087875
48	0.088309
49	0.088976
50	0.089560
51	0.090195
52	0.090779
53	0.091279
54	0.091847
55	0.092531
56	0.093098
57	0.093582
58	0.094233
59	0.094734
60	0.095101
61	0.095601
62	0.096068
63	0.096569
64	0.096953
65	0.097537
66	0.097954
67	0.098405
68	0.098872
69	0.099339
70	0.099723
71	0.100157
72	0.100507
73	0.100991
74	0.101559
75	0.101942
76	0.102410
77	0.102810
78	0.103327
79	0.103795
80	0.104229
81	0.104596
82	0.105030
83	0.105380
84	0.105680
85	0.106098
86	0.106615
87	0.106915
88	0.107299
89	0.107633
90	0.108083
91	0.108567
92	0.108818
93	0.109068
94	0.109402
95	0.109702
96	0.110102
97	0.110436
98	0.110770
99	0.111120
100	0.111471
101	0.111971
102	0.112238
103	0.112589
104	0.112873
105	0.113073
106	0.113507
107	0.113724
108	0.114057
109	0.114308
110	0.114575
111	0.114892
112	0.115192
113	0.115526
114	0.115793
115	0.116043
116	0.116327
117	0.116610
118	0.116911
119	0.117161
120	0.117395
121	0.117729
122	0.118012
123	0.118246
124	0.118479
125	0.118830
126	0.119147
127	0.119364
128	0.119614
129	0.119965
130	0.120198
131	0.120415
132	0.120699
133	0.121033
134	0.121300
135	0.121533
136	0.121767
137	0.122017
138	0.122301
139	0.122685
140	0.122918
141	0.123102
142	0.123436
143	0.123836
144	0.123970
145	0.124370
146	0.124620
147	0.124887
148	0.125088
149	0.125321
150	0.125488
151	0.125655
152	0.125989
153	0.126289
154	0.126439
155	0.126640
156	0.126907
157	0.127174
158	0.127290
159	0.127457
160	0.127641
161	0.127808
162	0.128008
163	0.128225
164	0.128425
165	0.128692
166	0.128775
167	0.129026
168	0.129343
169	0.129560
170	0.129760
171	0.129927
172	0.130060
173	0.130227
174	0.130394
175	0.130695
176	0.130895
177	0.131145
178	0.131329
179	0.131662
180	0.131829
181	0.132213
182	0.132397
183	0.132547
184	0.132864
185	0.133064
186	0.133264
187	0.133498
188	0.133832
189	0.134015
190	0.134316
191	0.134516
192	0.134783
193	0.134916
194	0.135083
195	0.135250
196	0.135517
197	0.135684
198	0.135801
199	0.135951
200	0.136251
201	0.136385
202	0.136635
203	0.136819
204	0.137052
205	0.137186
206	0.137369
207	0.137570
208	0.137853
209	0.138104
210	0.138304
211	0.138454
212	0.138654
213	0.138738
214	0.138855
215	0.138971
216	0.139188
217	0.139305
218	0.139472
219	0.139706
220	0.139906
221	0.140073
222	0.140190
223	0.140373
224	0.140440
225	0.140523
226	0.140673
227	0.140840
228	0.140991
229	0.141107
230	0.141291
231	0.141391
232	0.141525
233	0.141625
234	0.141792
235	0.141992
236	0.142242
237	0.142292
238	0.142359
239	0.142643
240	0.142776
241	0.142943
242	0.143093
243	0.143260
244	0.143444
245	0.143610
246	0.143794
247	0.143961
248	0.144144
249	0.144311
250	0.144478
251	0.144628
252	0.144829
253	0.145062
254	0.145329
255	0.145479
256	0.145596
257	0.145730
258	0.145830
